system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60,date,lat,lon,.geo
198,2117,851,932,1610,1200,1001,976,982,1029,773,1006,0,2023-07-08,62.17049299317862,-39.99835137482274,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,3276,2439,2093,3084,2663,2653,2468,2486,2548,2596,2539,0,2023-09-28,-16.879455317923725,-141.04850867771063,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,1592,177,120,1187,786,553,482,438,440,361,371,0,2023-04-16,11.446120487753769,89.4981027205696,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,1265,162,109,1011,896,546,521,423,413,360,360,0,2023-07-15,-0.8613118629653548,34.147280438865316,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,1316,84,57,1004,675,383,301,246,252,195,195,0,2023-10-24,23.64717871125189,118.34863924042024,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2508,1973,1456,2116,2126,1875,1781,2491,3095,3040,3460,0,2023-11-18,-0.43652347701328276,10.331991268862462,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,1877,694,768,1211,907,860,685,723,829,563,895,0,2023-09-24,7.80543062357064,167.08486256808422,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,1223,941,457,868,674,424,750,1597,2115,2019,2238,0,2023-12-11,41.90369986377799,-123.50029558597926,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,1805,964,814,1426,1084,911,973,1004,1125,857,1105,0,2023-07-05,40.74911703016831,-31.80848383620673,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,9456,1428,1551,9251,8828,8982,9196,9114,8988,8767,8783,0,2023-11-01,-75.04381001710725,18.780260459601795,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,1341,3679,2032,1230,1319,1779,1974,2318,2610,2684,3099,0,2023-01-23,-36.999968129718276,144.48416456777505,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,1111,1670,610,804,748,410,836,2626,3434,3057,3794,0,2023-03-20,-2.1651132437428693,102.23163887690608,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,3313,1949,1621,4900,3775,2326,2138,1787,1780,4696,1749,0,2023-01-22,-39.72836696008626,-77.03693232758971,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,1242,2444,1346,1053,964,990,1228,1721,1971,2114,2284,0,2023-06-01,-20.846928222125353,146.28610805236693,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2258,5128,4705,2297,2694,3671,3827,4010,4158,4014,4220,0,2023-11-30,23.602199326998758,-9.317355485133982,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,3223,2346,1969,2407,2120,2213,2414,2692,2878,2222,2969,0,2023-11-12,54.77461359824846,34.83338918969956,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,1137,1926,760,896,964,524,1025,2909,3680,3450,4005,0,2023-06-18,-10.149644295249944,-63.33895484023063,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,1252,85,66,908,548,295,268,223,209,185,159,0,2023-01-27,-41.93331214128447,174.57292278324678,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,1445,497,350,1215,938,744,658,640,642,576,613,0,2023-03-15,-9.363814091394815,116.88471825640919,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,1362,103,81,961,588,362,299,273,261,222,223,0,2023-01-06,14.980568469667428,119.00365975839077,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,1401,183,143,984,594,401,351,348,344,242,309,0,2023-07-22,6.965059830125567,115.90389884269841,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2161,83,44,1556,887,556,549,459,470,377,379,0,2023-01-04,59.40058852239167,-6.890154657367961,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,1354,1017,499,1032,859,641,833,1412,1651,1794,1853,0,2023-02-15,21.077377373902078,99.3581048015211,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,1161,893,448,848,592,509,698,926,1060,1173,1336,0,2023-11-14,45.35635478668019,23.343137523661433,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,1521,1974,1593,1237,1071,1196,1354,1537,1681,1687,1743,0,2023-05-14,56.011336529835816,159.52186696417695,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,1351,2929,1807,1126,1048,1142,1426,1873,2117,2160,2401,0,2023-09-13,-15.119614410876972,126.2642009737019,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2328,379,275,1770,1115,899,870,818,735,735,684,0,2023-06-18,-51.14664506809796,-75.16973530166462,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,1355,2057,1017,1196,1142,1185,1301,2769,3282,2662,3599,0,2023-01-16,13.189009634679072,34.8412698741358,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2105,180,90,1742,1270,977,862,806,759,644,657,0,2023-09-26,62.90660106430067,-84.93482057141544,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,1536,3493,2808,1355,1433,1638,1879,2312,2530,2557,2851,0,2023-06-26,35.99629762059015,104.8130040307074,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,1476,428,336,1181,882,710,633,622,617,547,576,0,2023-06-20,27.629475453735044,50.94818458304108,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,1576,240,175,1206,810,592,533,498,489,418,437,0,2023-12-02,10.5171180014776,111.59850259910291,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,1234,129,93,917,596,384,317,268,243,262,211,0,2023-04-27,46.5249449510758,-8.582555301867881,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,1352,1993,994,1069,950,705,1073,2242,2721,2677,3062,0,2023-05-15,54.55131825385391,41.203693223766265,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,1326,122,108,935,562,337,298,282,282,205,237,0,2023-12-14,3.5789846293361443,94.13896008530422,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,1415,997,556,1102,858,717,735,910,1064,998,1159,0,2023-12-02,-12.195879957995862,142.58937121789066,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,1284,2710,1662,1051,1045,931,1271,2098,2478,2324,2730,0,2023-02-24,-19.396633805771543,25.082002428787796,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,4049,144,99,4094,3420,3370,3244,2979,2475,2383,2195,0,2023-03-12,64.89246120281187,-176.0360691577439,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,7887,1503,1542,7742,6905,7711,8039,8133,8136,7696,7866,0,2023-03-17,67.61446158615796,52.94717446968647,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,1655,666,557,1243,920,785,792,823,820,634,803,0,2023-10-14,-16.328585605298006,147.63493689252718,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,1223,1601,795,881,741,504,809,2372,3285,3453,3515,0,2023-09-13,37.744343273961114,27.25611520828571,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,1734,749,795,1449,1063,862,781,755,759,746,748,0,2023-03-25,-40.35282463338794,-13.447908545499226,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,8742,1451,1521,8380,7739,8002,8167,8114,8006,7725,7852,0,2023-11-04,-78.73446062344814,128.2260049170795,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,1507,4206,3141,1373,1575,2357,2588,3009,3388,2926,3629,0,2023-09-13,6.32372703967475,41.81370838407823,"{""type"":""MultiPoint"",""coordinates"":[]}"
